"PolyID","imd_rank","imd_national_decile","nation"
"E01000376",21345,7,"England"
"E01000377",22831,7,"England"
"E01000379",15536,5,"England"
"E01000380",13073,4,"England"
"E01000381",11599,4,"England"
"E01000382",31644,10,"England"
"E01000383",18711,6,"England"
"E01000384",21267,7,"England"
"E01000385",9708,3,"England"
"E01000386",4284,2,"England"
"E01000387",27261,9,"England"
"E01000388",30147,9,"England"
"E01000389",25546,8,"England"
"E01000390",27479,9,"England"
"E01000391",22823,7,"England"
"E01000392",12352,4,"England"
"E01000393",27396,9,"England"
"E01000394",27514,9,"England"
"E01000395",32007,10,"England"
"E01000396",31313,10,"England"
"E01000398",16332,5,"England"
"E01000399",27365,9,"England"
"E01000400",21810,7,"England"
"E01000401",10910,4,"England"
"E01000402",12138,4,"England"
"E01000403",5964,2,"England"
"E01000404",6367,2,"England"
"E01000405",10432,4,"England"
"E01000406",14966,5,"England"
"E01000407",22707,7,"England"
"E01000408",8696,3,"England"
"E01000409",31106,10,"England"
"E01000410",29180,9,"England"
"E01000411",26878,8,"England"
"E01000412",25787,8,"England"
"E01000413",23728,8,"England"
"E01000414",17293,6,"England"
"E01000415",32490,10,"England"
"E01000416",11829,4,"England"
"E01000417",15041,5,"England"
"E01000418",17958,6,"England"
"E01000419",29648,9,"England"
"E01000420",24886,8,"England"
"E01000421",31634,10,"England"
"E01000422",8563,3,"England"
"E01000423",32796,10,"England"
"E01000424",28283,9,"England"
"E01000425",32889,10,"England"
"E01000426",25920,8,"England"
"E01000427",22567,7,"England"
"E01000428",11929,4,"England"
"E01000429",4149,2,"England"
"E01000430",15673,5,"England"
"E01000431",4439,2,"England"
"E01000433",3945,2,"England"
"E01000434",5490,2,"England"
"E01000435",9301,3,"England"
"E01000436",32315,10,"England"
"E01000437",24368,8,"England"
"E01000438",17977,6,"England"
"E01000439",9525,3,"England"
"E01000440",31013,10,"England"
"E01000441",6462,2,"England"
"E01000442",25803,8,"England"
"E01000443",19024,6,"England"
"E01000444",32469,10,"England"
"E01000445",30998,10,"England"
"E01000446",31326,10,"England"
"E01000447",23525,7,"England"
"E01000448",33301,10,"England"
"E01000449",32719,10,"England"
"E01000450",17947,6,"England"
"E01000451",29408,9,"England"
"E01000452",30971,10,"England"
"E01000453",29668,9,"England"
"E01000454",17008,6,"England"
"E01000455",29793,9,"England"
"E01000456",31709,10,"England"
"E01000457",20745,7,"England"
"E01000458",31722,10,"England"
"E01000459",20044,6,"England"
"E01000460",32849,10,"England"
"E01000461",31898,10,"England"
"E01000462",22602,7,"England"
"E01000463",31099,10,"England"
"E01000464",9485,3,"England"
"E01000465",7701,3,"England"
"E01000466",9426,3,"England"
"E01000467",11678,4,"England"
"E01000468",13855,5,"England"
"E01000469",13692,5,"England"
"E01000470",4590,2,"England"
"E01000471",12806,4,"England"
"E01000472",10784,4,"England"
"E01000473",7237,3,"England"
"E01000474",10359,4,"England"
"E01000475",9882,3,"England"
"E01000476",11152,4,"England"
"E01000477",4734,2,"England"
"E01000478",9209,3,"England"
"E01000479",17040,6,"England"
"E01000480",18864,6,"England"
"E01000481",7371,3,"England"
"E01000483",3583,2,"England"
"E01000484",7717,3,"England"
"E01000485",10549,4,"England"
"E01000486",17267,6,"England"
"E01000487",11048,4,"England"
"E01000488",12746,4,"England"
"E01000489",14355,5,"England"
"E01000490",10525,4,"England"
"E01000491",14787,5,"England"
"E01000492",18107,6,"England"
"E01000493",20299,7,"England"
"E01000494",12795,4,"England"
"E01000495",7854,3,"England"
"E01000497",6927,3,"England"
