"TownsNM","region","town_area_ha","current_can_ha","current_can_prop","n_trees_plantable","n_trees_plantable_npg","n_trees_plantable_pub","gained_can_ha","gained_can_npg_ha","gained_can_pub_ha","potential_can_ha","potential_can_npg_ha","potential_can_pub_ha","potential_can_prop","potential_can_npg_prop","potential_can_pub_prop","shortfall_prop","shortfall_npg_prop","shortfall_pub_prop"
"Colchester","EastEng",5700.58164429,1069.611072,0.1876,207597,66016,56375,664.3104,211.2512,180.4,1733.9215,1280.8623,1250.0111,0.3042,0.2247,0.2193,-0.1042,-0.0247,-0.0193
"Coventry","WMidlandEng",9167.07828824,1459.580394,0.1592,402575,101644,92957,1288.24,325.2608,297.4624,2747.8204,1784.8412,1757.0428,0.2997,0.1947,0.1917,-0.0997,0.0053,0.0083
"Crawley","SEEng",2892.7242436,605.765122,0.2094,132356,38418,35220,423.5392,122.9376,112.704,1029.3043,728.7027,718.4691,0.3558,0.2519,0.2484,-0.1558,-0.0519,-0.0484
"Croydon","GrLondEng",8261.69954148,2057.545407,0.249,365885,57369,50750,1170.832,183.5808,162.4,3228.3774,2241.1262,2219.9454,0.3908,0.2713,0.2687,-0.1908,-0.0713,-0.0687
"Darlington","NEEng",3004.13952415,367.532114,0.1223,133356,37442,35611,426.7392,119.8144,113.9552,794.2713,487.3465,481.4873,0.2644,0.1622,0.1603,-0.0644,0.0378,0.0397
"Derby","EMidlandEng",7911.5060989,1121.26926,0.1417,357577,73392,68066,1144.2464,234.8544,217.8112,2265.5157,1356.1237,1339.0805,0.2864,0.1714,0.1693,-0.0864,0.0286,0.0307
"Doncaster","YorkHumberEng",6131.97666554,753.428472,0.1229,207652,65902,57234,664.4864,210.8864,183.1488,1417.9149,964.3149,936.5773,0.2312,0.1573,0.1527,-0.0312,0.0427,0.0473
"Dudley","WMidlandEng",2903.44611,598.534565,0.2061,134218,29784,26037,429.4976,95.3088,83.3184,1028.0322,693.8434,681.853,0.3541,0.239,0.2348,-0.1541,-0.039,-0.0348
"Ealing","GrLondEng",5552.57036278,917.582911,0.1653,223641,47838,43302,715.6512,153.0816,138.5664,1633.2341,1070.6645,1056.1493,0.2941,0.1928,0.1902,-0.0941,0.00720000000000001,0.0098
"Eastbourne","SEEng",3178.69107477,518.475023,0.1631,132951,28654,25625,425.4432,91.6928,82,943.9182,610.1678,600.475,0.297,0.192,0.1889,-0.097,0.00800000000000001,0.0111
"Enfield","GrLondEng",6787.53197967,1029.657206,0.1517,273881,60019,53656,876.4192,192.0608,171.6992,1906.0764,1221.718,1201.3564,0.2808,0.18,0.177,-0.0808,0.02,0.023
"Exeter","SWEng",4331.75764814,953.726692,0.2202,146489,39129,31988,468.7648,125.2128,102.3616,1422.4915,1078.9395,1056.0883,0.3284,0.2491,0.2438,-0.1284,-0.0491,-0.0438
"Gateshead","NEEng",3720.45118316,510.363073,0.1372,155605,58442,54684,497.936,187.0144,174.9888,1008.2991,697.3775,685.3519,0.271,0.1874,0.1842,-0.071,0.0126,0.0158
"Gillingham","SEEng",3092.50441249,510.375737,0.165,130300,30442,28969,416.96,97.4144,92.7008,927.3357,607.7901,603.0765,0.2999,0.1965,0.195,-0.0999,0.0035,0.005
"Gloucester","SWEng",5285.98747077,684.444986,0.1295,202378,45226,41530,647.6096,144.7232,132.896,1332.0546,829.1682,817.341,0.252,0.1569,0.1546,-0.052,0.0431,0.0454
"Greenwich","GrLondEng",4732.20448904,961.600147,0.2032,195712,57827,52547,626.2784,185.0464,168.1504,1587.8785,1146.6465,1129.7505,0.3355,0.2423,0.2387,-0.1355,-0.0423,-0.0387
"Grimsby","YorkHumberEng",2892.21522694,177.946357,0.0615,123793,28168,26277,396.1376,90.1376,84.0864,574.084,268.084,262.0328,0.1985,0.0927,0.0906,0.0015,0.1073,0.1094
"Guildford","SEEng",3672.51784993,904.550092,0.2463,125551,27209,22065,401.7632,87.0688,70.608,1306.3133,991.6189,975.1581,0.3557,0.27,0.2655,-0.1557,-0.07,-0.0655
"Hackney","GrLondEng",1906.60752016,270.116472,0.1417,66842,20048,18694,213.8944,64.1536,59.8208,484.0109,334.2701,329.9373,0.2539,0.1753,0.173,-0.0539,0.0247,0.027
"Halifax","YorkHumberEng",3493.84769565,681.394023,0.195,97527,28980,27586,312.0864,92.736,88.2752,993.4804,774.13,769.6692,0.2844,0.2216,0.2203,-0.0844,-0.0216,-0.0203
"Hammersmith and Fulham","GrLondEng",1641.04869432,200.089296,0.1219,49845,13028,12469,159.504,41.6896,39.9008,359.5933,241.7789,239.9901,0.2191,0.1473,0.1462,-0.0191,0.0527,0.0538
"Haringey","GrLondEng",2958.48706184,519.495849,0.1756,120695,24244,22648,386.224,77.5808,72.4736,905.7198,597.0766,591.9694,0.3061,0.2018,0.2001,-0.1061,-0.0018,-9.9999999999989e-05
"Harlow","EastEng",2922.92779018,507.441682,0.1736,107200,36157,33819,343.04,115.7024,108.2208,850.4817,623.1441,615.6625,0.291,0.2132,0.2106,-0.091,-0.0132,-0.0106
"Harrogate","YorkHumberEng",2936.17361054,565.941441,0.1927,109263,21929,20254,349.6416,70.1728,64.8128,915.583,636.1142,630.7542,0.3118,0.2166,0.2148,-0.1118,-0.0166,-0.0148
"Harrow","GrLondEng",4758.18230377,885.799358,0.1862,245011,37600,35170,784.0352,120.32,112.544,1669.8346,1006.1194,998.3434,0.3509,0.2115,0.2098,-0.1509,-0.0115,-0.00979999999999998
"Hartlepool","NEEng",4079.21499581,199.661914,0.0489,147073,53733,51505,470.6336,171.9456,164.816,670.2955,371.6075,364.4779,0.1643,0.0911,0.0894,0.0357,0.1089,0.1106
"Hastings","SEEng",2981.79795133,863.685021,0.2897,114519,24499,22952,366.4608,78.3968,73.4464,1230.1458,942.0818,937.1314,0.4126,0.3159,0.3143,-0.2126,-0.1159,-0.1143
"Havering","GrLondEng",6960.68136326,1163.724998,0.1672,308434,59252,56582,986.9888,189.6064,181.0624,2150.7138,1353.3314,1344.7874,0.309,0.1944,0.1932,-0.109,0.00560000000000002,0.0068
"Hemel Hempstead","EastEng",4321.33583713,761.119274,0.1761,145224,41599,39427,464.7168,133.1168,126.1664,1225.8361,894.2361,887.2857,0.2837,0.2069,0.2053,-0.0837,-0.00689999999999999,-0.0053
"High Wycombe","SEEng",5411.28927271,1270.63971,0.2348,174564,38413,36211,558.6048,122.9216,115.8752,1829.2445,1393.5613,1386.5149,0.338,0.2575,0.2562,-0.138,-0.0575,-0.0562
"Hillingdon","GrLondEng",10048.31716029,1880.620919,0.1872,365097,115144,109295,1168.3104,368.4608,349.744,3048.9313,2249.0817,2230.3649,0.3034,0.2238,0.222,-0.1034,-0.0238,-0.022
"Hounslow","GrLondEng",5595.73044147,983.13662,0.1757,220045,71886,68047,704.144,230.0352,217.7504,1687.2806,1213.1718,1200.887,0.3015,0.2168,0.2146,-0.1015,-0.0168,-0.0146
"Huddersfield","YorkHumberEng",8150.35411989,1798.804051,0.2207,229331,56687,52714,733.8592,181.3984,168.6848,2532.6633,1980.2025,1967.4889,0.3107,0.243,0.2414,-0.1107,-0.043,-0.0414
"Ipswich","EastEng",4798.23332656,834.08527,0.1738,207295,46335,40877,663.344,148.272,130.8064,1497.4293,982.3573,964.8917,0.3121,0.2047,0.2011,-0.1121,-0.00469999999999998,-0.00109999999999999
"Islington","GrLondEng",1486.3506104,242.287083,0.163,49782,10841,10422,159.3024,34.6912,33.3504,401.5895,276.9783,275.6375,0.2702,0.1863,0.1854,-0.0702,0.0137,0.0146
"Kensington and Chelsea","GrLondEng",1213.87249572,205.931196,0.1696,36563,10714,10160,117.0016,34.2848,32.512,322.9328,240.216,238.4432,0.266,0.1979,0.1964,-0.066,0.00210000000000002,0.00360000000000002
"Kingston upon Hull","YorkHumberEng",9274.56946227,764.972205,0.0825,388640,120489,112146,1243.648,385.5648,358.8672,2008.6202,1150.537,1123.8394,0.2166,0.1241,0.1212,-0.0166,0.0759,0.0788
"Kingston upon Thames","GrLondEng",3723.40333078,718.83995,0.1931,162675,24562,19839,520.56,78.5984,63.4848,1239.4,797.4384,782.3248,0.3329,0.2142,0.2101,-0.1329,-0.0142,-0.0101
"Lambeth","GrLondEng",2682.58249938,421.167612,0.157,111950,23648,22763,358.24,75.6736,72.8416,779.4076,496.8412,494.0092,0.2905,0.1852,0.1842,-0.0905,0.0148,0.0158
"Leeds","YorkHumberEng",15075.30442917,2516.779124,0.1669,601117,175427,161823,1923.5744,561.3664,517.8336,4440.3535,3078.1455,3034.6127,0.2945,0.2042,0.2013,-0.0945,-0.00419999999999998,-0.0013
"Leicester","EMidlandEng",10419.15040689,1482.006505,0.1422,433779,114313,104676,1388.0928,365.8016,334.9632,2870.0993,1847.8081,1816.9697,0.2755,0.1773,0.1744,-0.0755,0.0227,0.0256
"Lewisham","GrLondEng",3515.98851033,622.461835,0.177,169551,36340,35231,542.5632,116.288,112.7392,1165.025,738.7498,735.201,0.3314,0.2101,0.2091,-0.1314,-0.0101,-0.0091
"Lincoln","EMidlandEng",5211.42614293,482.889662,0.0927,189103,71776,66895,605.1296,229.6832,214.064,1088.0193,712.5729,696.9537,0.2088,0.1367,0.1337,-0.0088,0.0633,0.0663
"Liverpool","NWEng",14428.0973132,2154.265704,0.1493,627385,200008,184804,2007.632,640.0256,591.3728,4161.8977,2794.2913,2745.6385,0.2885,0.1937,0.1903,-0.0885,0.0063,0.00970000000000001
"Luton","EastEng",4669.46797678,636.377224,0.1363,218304,41488,39817,698.5728,132.7616,127.4144,1334.95,769.1388,763.7916,0.2859,0.1647,0.1636,-0.0859,0.0353,0.0364
"Maidstone","SEEng",3724.26825538,552.954249,0.1485,188627,57327,54942,603.6064,183.4464,175.8144,1156.5606,736.4006,728.7686,0.3105,0.1977,0.1957,-0.1105,0.00230000000000002,0.0043
"Manchester","NWEng",11417.23958861,2163.665285,0.1895,450673,132657,123734,1442.1536,424.5024,395.9488,3605.8189,2588.1677,2559.6141,0.3158,0.2267,0.2242,-0.1158,-0.0267,-0.0242
"Mansfield","EMidlandEng",3951.52989614,523.166791,0.1324,152425,39530,36083,487.76,126.496,115.4656,1010.9268,649.6628,638.6324,0.2558,0.1644,0.1616,-0.0558,0.0356,0.0384
"Merton","GrLondEng",3763.4326628,769.290249,0.2044,157188,30231,27509,503.0016,96.7392,88.0288,1272.2918,866.0294,857.319,0.3381,0.2301,0.2278,-0.1381,-0.0301,-0.0278
"Middlesbrough","NEEng",6281.08593971,753.163644,0.1199,281184,99328,91313,899.7888,317.8496,292.2016,1652.9524,1071.0132,1045.3652,0.2632,0.1705,0.1664,-0.0632,0.0295,0.0336
"Milton Keynes","SEEng",7300.25026077,1299.251131,0.178,342879,177347,171096,1097.2128,567.5104,547.5072,2396.4639,1866.7615,1846.7583,0.3283,0.2557,0.253,-0.1283,-0.0557,-0.053
"Newcastle upon Tyne","NEEng",6828.40522991,940.810494,0.1378,288836,83830,76551,924.2752,268.256,244.9632,1865.0857,1209.0665,1185.7737,0.2731,0.1771,0.1737,-0.0731,0.0229,0.0263
"Newcastle-under-Lyme","WMidlandEng",3224.71152617,697.993167,0.2165,133469,39540,37604,427.1008,126.528,120.3328,1125.094,824.5212,818.326,0.3489,0.2557,0.2538,-0.1489,-0.0557,-0.0538
"Newham","GrLondEng",3623.24516748,427.152201,0.1179,119559,37424,36202,382.5888,119.7568,115.8464,809.741,546.909,542.9986,0.2235,0.1509,0.1499,-0.0235,0.0491,0.0501
"Newport","Wales",6899.59127385,1281.303562,0.1857,209198,79557,76825,669.4336,254.5824,245.84,1950.7372,1535.886,1527.1436,0.2827,0.2226,0.2213,-0.0827,-0.0226,-0.0213
"Northampton","EMidlandEng",7594.95671694,947.998964,0.1248,333696,107561,98890,1067.8272,344.1952,316.448,2015.8262,1292.1942,1264.447,0.2654,0.1701,0.1665,-0.0654,0.0299,0.0335
"Norwich","EastEng",7124.69937702,992.933644,0.1394,325485,93279,83493,1041.552,298.4928,267.1776,2034.4856,1291.4264,1260.1112,0.2856,0.1813,0.1769,-0.0856,0.0187,0.0231
"Nottingham","EMidlandEng",7242.7906671,895.780378,0.1237,340241,84692,68174,1088.7712,271.0144,218.1568,1984.5516,1166.7948,1113.9372,0.274,0.1611,0.1538,-0.074,0.0389,0.0462
"Nuneaton","WMidlandEng",4682.27806938,655.198145,0.1399,133554,32430,30130,427.3728,103.776,96.416,1082.5709,758.9741,751.6141,0.2312,0.1621,0.1605,-0.0312,0.0379,0.0395
"Oldham","NWEng",3130.85239001,500.6202,0.1599,106211,34308,31631,339.8752,109.7856,101.2192,840.4954,610.4058,601.8394,0.2685,0.195,0.1922,-0.0685,0.005,0.0078
"Oxford","SEEng",4942.2790373,1060.711204,0.2146,165113,44947,33912,528.3616,143.8304,108.5184,1589.0728,1204.5416,1169.2296,0.3215,0.2437,0.2366,-0.1215,-0.0437,-0.0366
"Peterborough","EastEng",6411.95513187,886.585497,0.1383,263951,87857,78610,844.6432,281.1424,251.552,1731.2287,1167.7279,1138.1375,0.27,0.1821,0.1775,-0.07,0.0179,0.0225
"Plymouth","SWEng",8218.12692488,1756.689664,0.2138,328093,87592,77978,1049.8976,280.2944,249.5296,2806.5873,2036.9841,2006.2193,0.3415,0.2479,0.2441,-0.1415,-0.0479,-0.0441
"Poole","SWEng",5737.22933649,1204.945168,0.21,251473,36762,33713,804.7136,117.6384,107.8816,2009.6588,1322.5836,1312.8268,0.3503,0.2305,0.2288,-0.1503,-0.0305,-0.0288
"Portsmouth","SEEng",4524.39523022,271.512005,0.06,184004,59443,51984,588.8128,190.2176,166.3488,860.3248,461.7296,437.8608,0.1902,0.1021,0.0968,0.0098,0.0979,0.1032
"Preston","NWEng",5116.20795685,734.714467,0.1436,185872,60496,56374,594.7904,193.5872,180.3968,1329.5049,928.3017,915.1113,0.2599,0.1814,0.1789,-0.0599,0.0186,0.0211
"Reading","SEEng",8147.29007852,1647.824405,0.2023,345356,71798,62827,1105.1392,229.7536,201.0464,2752.9636,1877.578,1848.8708,0.3379,0.2305,0.2269,-0.1379,-0.0305,-0.0269
"Redbridge","GrLondEng",5027.58762765,836.004493,0.1663,234569,50941,47475,750.6208,163.0112,151.92,1586.6253,999.0157,987.9245,0.3156,0.1987,0.1965,-0.1156,0.00130000000000002,0.0035
"Redditch","WMidlandEng",3268.85793569,850.476605,0.2602,131384,37328,35013,420.4288,119.4496,112.0416,1270.9054,969.9262,962.5182,0.3888,0.2967,0.2945,-0.1888,-0.0967,-0.0945
"Richmond upon Thames","GrLondEng",5304.06986583,1333.591393,0.2514,168301,32410,28081,538.5632,103.712,89.8592,1872.1546,1437.3034,1423.4506,0.353,0.271,0.2684,-0.153,-0.071,-0.0684
"Rochdale","NWEng",3568.93462335,590.921141,0.1656,122977,33215,31104,393.5264,106.288,99.5328,984.4475,697.2091,690.4539,0.2758,0.1954,0.1935,-0.0758,0.00460000000000002,0.00650000000000001
"Rotherham","YorkHumberEng",4902.81632073,674.996815,0.1377,177924,54363,50840,569.3568,173.9616,162.688,1244.3536,848.9584,837.6848,0.2538,0.1732,0.1709,-0.0538,0.0268,0.0291
"Salford","NWEng",2110.4640981,332.592713,0.1576,71842,22997,20412,229.8944,73.5904,65.3184,562.4871,406.1831,397.9111,0.2665,0.1925,0.1885,-0.0665,0.00750000000000001,0.0115
"Scunthorpe","YorkHumberEng",4090.15659023,394.542255,0.0965,139541,38895,37106,446.5312,124.464,118.7392,841.0735,519.0063,513.2815,0.2056,0.1269,0.1255,-0.00559999999999999,0.0731,0.0745
"Sheffield","YorkHumberEng",16085.27529029,2970.210816,0.1847,702035,206392,194395,2246.512,660.4544,622.064,5216.7228,3630.6652,3592.2748,0.3243,0.2257,0.2233,-0.1243,-0.0257,-0.0233
"Shrewsbury","WMidlandEng",3262.01346939,446.555395,0.1369,129400,29482,27245,414.08,94.3424,87.184,860.6354,540.8978,533.7394,0.2638,0.1658,0.1636,-0.0638,0.0342,0.0364
"Slough","SEEng",3512.76334291,528.375745,0.1504,147179,34607,31289,470.9728,110.7424,100.1248,999.3485,639.1181,628.5005,0.2845,0.1819,0.1789,-0.0845,0.0181,0.0211
"Solihull","WMidlandEng",3651.97471398,722.74909,0.1979,180921,27046,24364,578.9472,86.5472,77.9648,1301.6963,809.2963,800.7139,0.3564,0.2216,0.2193,-0.1564,-0.0216,-0.0193
"South Shields","NEEng",1879.44567407,119.685969,0.0637,96909,31300,29777,310.1088,100.16,95.2864,429.7948,219.846,214.9724,0.2287,0.117,0.1144,-0.0287,0.083,0.0856
"Southampton","SEEng",7985.47712691,1785.349273,0.2236,286699,69661,63456,917.4368,222.9152,203.0592,2702.7861,2008.2645,1988.4085,0.3385,0.2515,0.249,-0.1385,-0.0515,-0.049
"Southend-on-Sea","EastEng",5243.6610825,668.413858,0.1275,234159,46218,43535,749.3088,147.8976,139.312,1417.7227,816.3115,807.7259,0.2704,0.1557,0.154,-0.0704,0.0443,0.046
"Southport","NWEng",3687.61028651,317.525673,0.0861,159276,32793,30344,509.6832,104.9376,97.1008,827.2089,422.4633,414.6265,0.2243,0.1146,0.1124,-0.0243,0.0854,0.0876
"Southwark","GrLondEng",2884.83391887,533.627999,0.185,95834,25743,23863,306.6688,82.3776,76.3616,840.2968,616.0056,609.9896,0.2913,0.2135,0.2114,-0.0913,-0.0135,-0.0114
"St Albans","EastEng",3077.88767245,556.242866,0.1807,116430,28308,26386,372.576,90.5856,84.4352,928.8189,646.8285,640.6781,0.3018,0.2102,0.2082,-0.1018,-0.0102,-0.00819999999999999
"St Helens","NWEng",4444.79172566,673.713871,0.1516,163413,58861,55350,522.9216,188.3552,177.12,1196.6355,862.0691,850.8339,0.2692,0.194,0.1914,-0.0692,0.00600000000000001,0.00860000000000002
"Stevenage","EastEng",2673.35268902,564.994572,0.2113,107940,31999,29942,345.408,102.3968,95.8144,910.4026,667.3914,660.809,0.3405,0.2496,0.2472,-0.1405,-0.0496,-0.0472
"Stockport","NWEng",3135.46714204,637.645402,0.2034,133878,26365,25078,428.4096,84.368,80.2496,1066.055,722.0134,717.895,0.34,0.2303,0.229,-0.14,-0.0303,-0.029
"Stockton-on-Tees","NEEng",3254.61234256,341.594389,0.105,139561,48222,46409,446.5952,154.3104,148.5088,788.1896,495.9048,490.1032,0.2422,0.1524,0.1506,-0.0422,0.0476,0.0494
"Stoke-on-Trent","WMidlandEng",12363.26946216,1990.453606,0.161,415343,124578,117185,1329.0976,398.6496,374.992,3319.5512,2389.1032,2365.4456,0.2685,0.1932,0.1913,-0.0685,0.0068,0.00870000000000001
"Sunderland","NEEng",5148.50888567,464.087708,0.0901,235789,85599,79636,754.5248,273.9168,254.8352,1218.6125,738.0045,718.9229,0.2367,0.1433,0.1396,-0.0367,0.0567,0.0604
"Sutton","GrLondEng",4384.88009836,734.994324,0.1676,220050,35671,31528,704.16,114.1472,100.8896,1439.1543,849.1415,835.8839,0.3282,0.1937,0.1906,-0.1282,0.0063,0.00940000000000002
"Sutton Coldfield","WMidlandEng",5634.61614849,1332.435773,0.2365,211307,27835,22757,676.1824,89.072,72.8224,2008.6182,1421.5078,1405.2582,0.3565,0.2523,0.2494,-0.1565,-0.0523,-0.0494
"Swansea","Wales",8170.46626818,1786.22557,0.2186,321413,119051,110640,1028.5216,380.9632,354.048,2814.7472,2167.1888,2140.2736,0.3445,0.2652,0.262,-0.1445,-0.0652,-0.062
"Swindon","SWEng",7012.71458664,1140.376871,0.1626,273659,91379,89896,875.7088,292.4128,287.6672,2016.0857,1432.7897,1428.0441,0.2875,0.2043,0.2036,-0.0875,-0.0043,-0.00359999999999999
"Telford","WMidlandEng",7455.58753275,1859.573557,0.2494,285011,85459,80265,912.0352,273.4688,256.848,2771.6088,2133.0424,2116.4216,0.3717,0.2861,0.2839,-0.1717,-0.0861,-0.0839
"Tower Hamlets","GrLondEng",1973.87675127,246.090945,0.1247,49827,20194,20204,159.4464,64.6208,64.6528,405.5373,310.7117,310.7437,0.2055,0.1574,0.1574,-0.00549999999999998,0.0426,0.0426
"Wakefield","YorkHumberEng",5666.32158015,633.695855,0.1118,199122,65930,59540,637.1904,210.976,190.528,1270.8863,844.6719,824.2239,0.2243,0.1491,0.1455,-0.0243,0.0509,0.0545
"Walsall","WMidlandEng",2137.46314738,375.697786,0.1758,89029,21896,19918,284.8928,70.0672,63.7376,660.5906,445.765,439.4354,0.3091,0.2085,0.2056,-0.1091,-0.00849999999999998,-0.00559999999999999
"Waltham Forest","GrLondEng",3880.89346071,697.945213,0.1798,147302,27379,25165,471.3664,87.6128,80.528,1169.3116,785.558,778.4732,0.3013,0.2024,0.2006,-0.1013,-0.00239999999999999,-0.000599999999999989
